item_number,text,relevant,category
1,most quality product this app,,
2,always good products and timely delivered thanku nykaa,,
3,sizes r not available for many liked products,,
4,"You were supposed to answer my query by August 17th, yet now you are asking for another 48 hours. Please do not harass the customer to the point where they stop shopping on the app (Myntra) altogether. Issues should be resolved promptly. Please provide a solution to my problem by August 18th. Why is it taking so long to resolve such a minor issue? I purchased a product, and it was of poor quality—everything is clearly visible in the photos. What are you deliberating on? After this, I will never",,
5,Good product 👍 nice quality...,,
6,"Unable to load content. Even with proper internet connection. Opening any of the tabs: AJIO, LUXE, AjioGram, RUSH loads no content. Worst app after update.",,
7,Unnecessary emails,,
8,product hamesha original hote aur discount bhi milte hai. best aap for beauty and skincare,,
9,Now a days app are not opening in one go it is taking too kuch time,,
10,good app for shopping trust me reasonable price comparing to other platforms,,
11,last 4 year i have been using this app. all the products on this site are amazing.with genuine quality and reliable price you can go for anything which is available on this platform.if anything happened all the customers executive team help you in a better way. all those who go for shopping can choose this app upon another app. return and exchange option are very reliable for anyone.... i have a great experience with this app... i genuinely appreciate all the things about this .. yogesh verma,,
12,best shoping AAP good product every time,,
13,easy returns and good communication and quick response better deals,,
14,nowadays orders don't getting delivered continuously..idk what happened to nykaa,,
15,fast delivery and value for money products,,
16,worth for that prize,,
17,Very good experience,,
18,very bad service,,
19,quality is very good but price is and discount not apply,,
20,Nice shoping exprienc,,
21,"The application lacks user-friendliness, the service quality is subpar, and the search functionality is poorly optimized.",,
22,this is a scam you will order something and they will deliver something else you cannot exchange it because they will not let you do that and can't return also if you return their product the refund will never come back and you can't tell them your problem also because THEY JUST DON'T LISTEN!! it is clearly a scam after ordering any product you just can't get that or exchange or return they don't coordinate with costomers. never use this app it is horrible!,,
23,"Title: AJIO Review Worst ever app and one of the most disappointing customer experiences. Online platforms are meant to sell products and allow customers to return them when needed. I once returned a few items and AJIO blocked me from placing any further orders — apparently for a lifetime! Why such an extreme approach? If returns were an issue, you could have implemented a penalty, return fee, or platform fee instead. Completely blocking a potential customer is simply poor customer experience.",,
24,payment service is to terrible 😫,,
25,Great Site Shop and deals are worthy,,
26,very poor experience in my order,,
27,Very bad delivery service. I got fraud.,,
28,affordable products .wish more products in low budget. find this app very affordable and helpful thankyou for offering us a offer like this 😭🫠,,
29,Branded clothes on good price.,,
30,"do not use this app i ordered on nykaa which is not delivered to me and I can't get my refund, nykaa's customer care service is so poor, I am very frustrated with this issue I never order anything from nykaa",,
31,all clothes are good for this site thank you ajio for a lovely dress,,
32,it is good app for latest fashion,,
33,it was bad experience with nyka. every one don't buy any product through this app. this is fraudulent. I ordered almost order of 200rs product but I received wrong product worth rs 250. I repeatedly contacted their support team only promised to return the product.after 20 days now they are sending massage that from our side we sent correct product and we cannot replace. they are really fraud. 😡😡🤬,,
34,no additional discount given as promised,,
35,"the product looks good but the quality is not good, fabric is too stretchable",,
36,this app is very good I'm very happy for this app real brand products 💖💖💖🥰🥰🥰🤗🤗🤗🤗🤗,,
37,"Worst experience with both delivery and customer service. My order was supposed to arrive within 2 hours, but it has taken days. Customer support kept giving repeated responses without providing a proper solution or clear delivery timeline. Very disappointing experience.",,
38,"One of the worst apps I have ever used. Earlier, I ordered via Cash on Delivery and that reached successfully. But when I paid online via UPI for the first time, Nykaa showed their true face. The order was never delivered to me, and my refund has not been credited back to my account yet. Very unprofessional. This is the worst app in India. People, don't trust this app!",,
39,"Worst Experience Worst experience with AJIO! I neither received my product nor was I able to cancel the order. I tried contacting customer care multiple times, but they were unable to provide any proper help or resolution. Around ₹2,000 is stuck/lost because of this issue. Very disappointing customer service and extremely frustrating experience. I expected much better from AJIO. I would not recommend AJIO based on this experience.",,
40,"i am shoes buying, one not complete full damage no buying ajio app waste product.no warranty",,
41,nyc one thanks myntra 😊😊😊👍🏻,,
42,some products are priced too high ... especially skin foundation shades description incomplete... please allow mobile screen testing tools... its very helpful for choosing perfect skin shade..,,
43,yes ok but delay the product,,
44,the offer is good what is the quality of of products,,
45,good quality product I am happy 😁😁😄😄,,
46,it's a very good platform for purchase any product at good prices,,
47,very very worst app ever they didn't delivered product at given time also they didn't refund. do not use this app,,
48,I love this platform very much. It exclusively supply the best product ever. Have a very great experience by buying products in Myntra lovable app💞💞,,
49,customer service is poor and ai talking nonsense and rubbish everything same problem its shows products are delivery on the way but not sure ...are mad gys or what please delivery on time I have facing this problem lots of time,,
50,Best shopping app,,
51,"Just now I saw a discount of 15% on products above ₹500 and till now there was also a timer of 1 hour and suddenly everything was the same amount but no discount was visible, meaning you have done an absolute amazing job. I want that discount huhhh😑",,
52,Services are good,,
53,worst experience,,
54,"can't cancel order even if it is stuck at delhivery side. no help watsover. low grade automated msgs as customer support. choppy UI, fraud pricing. pathetic",,
55,i seems good and very useful app for skincare thinks and all all things are the 🥀✌🏻,,
56,amazing place to find your outfit and aesthetic home decor 🙌🏻🤌🏻✨,,
57,best quality clothes,,
58,"good , nice app",,
59,naykaa is the best app guyss😭😋,,
60,Just awsome deal,,
61,don't deliver on time. not loyal to the customers.,,
62,"this app is very slow I always avoid using this app and website, poor UI",,
63,it's nice shopping platform,,
64,I'm the platinum member and still not once but multiple times i have faced problem regarding my order delivery and refund and the worst part about Nykaa is they have the worst customer service if they are treating there platinum member like this idk how they're treating their new customer,,
65,"Ajio, I want to ask you something, is the capacity of maximum 70 wishlist item justified? Who in this world has advised you guys to to keep the maximum wishlist capasiti of 70 item only. Really are you guys serious??? In other websites one can save 1000 and above and sometimes unlimited items in the wishlist.",,
66,"Horrible experience with the delivery, always getting delivered delayed then order gets cancelled on its own, same order, same address if placed from a different account works. there's nothing wrong with my account but I often get this issue, I don't even have any returns or anything and I'm one of the so-called ""Insider"" who has spent a lot on the app. And don't even get me started on the Support, the Al chatbot is useless, can't get in touch with a human at all. Extremely unprofessional.",,
67,worst shopping app This apps logistics service is very bad,,
68,I am use this app last 6 month this is a very best app for online shopping for you a I will always use this app for shopping,,
69,low quality product,,
70,not good so much,,
71,why every week updating the app? can't you hire better developers. updates must be none mandatory. or else automatically updare should happen.,,
72,App is working fine and good but the service provided by nykaa is worst ever don't buy it from here you will get your essentials in less amount in different platform and other platform provide faster delivery than this ....and their customer service is another level of scam.,,
73,it's really good,,
74,nykaa is always best for me🩷,,
75,its app doesn't have a good customer service i didn't received my payment for the product which I have returned i tried to contact myntra policy service but they didn't reached out its literally very disappointing to keep someone payments on hold,,
