item_number,text,relevant,category
1,"Please reach out to me. I have some blocker issues to share with you.Products /collection/ deals are superb & I like to order from here.... """"BUt"""" , pleaaaaaaaasseeeeeee fix wishlist issue . If i add new items to wishlist old ones are getting deleted ... whyyyyyyyyy.. Please help.",,
2,"Very slow service for replacement , return as well as order management , if you want to purchase something and size in not fir you should wait for 15 day for complete all process 

And if you return it its not showing in app which account upi if you have selected 

Very bad app",,
3,nice collection but rate was high..,,
4,"it is awesome. I cross checked the mrp from other sites and their discounts seem genuine. they have a good collection of shoes, and the discount on them are jaw dropping. firsapp discounts is more or less applicable to every product they have , except few dumb ones. It still has this glitch when it buffering producta it shakes but its okay. most amazing thing is they mention the size what their models are wearing of that product.",,
5,"AJIO offers a great variety of fashion clothing and accessories of man, women and kids. And on everything we can get discount with the coupon based on quantity, brand and total amount of the order. If the size/quality not seems to be good for you then you can easily return it very fast I recommend AJIO to everyone.",,
6,Really nice looking Polo's. Fitting is great. colour doesn't wash away. The striking white border near the buttons and the collar enhances the look. Fantastic product in the price range. By the way Status Quo is a really nice brand. They make really nice quality products. Negatives: I was expecting a little thicker cloth. The logo is made up of rubber which is pasted and will come off with time.,,
7,Amazing app don’t find a size to their own app but finds here,,
8,I rarely give any rating to shopping apps.. This app is really amazing ...in my point of view its way better than myntra..at least for women's clothing... people who gave low rating.They must have their issues unsolved but i just want to say the clothing style as well as material and customer service is just awesome.This is the only app where i do most of my shopping.😊,,
9,In terms of price and variety of collections. This is the best app. You cannot find some shoes or cloths in Amazon and flipkart. Frequently Ajio reduces the price of an item in your cart but the availability is very low. Lot of the items will be unavailable most of the time. If available but not the desired size. Please look onto it.,,
10,"Extremely pathetic service and deceptive practices. I placed a prepaid order during a sale for an event. The app gave ME no option to cancel the order, holding my money hostage for days while pushing delivery dates with false commitments. After ruining my event, AJIO unilaterally cancelled the order citing fake ""logistical constraints.""
The real reason? The exact same shoe is listed in stock right now, ready to deliver in days, but at a much higher price!
They waste your time, cause Credit Card/tax losses, lock out your cancellation rights, and cancel discounted orders so you are forced to re-buy at full price. This amounts to gross deficiency of service and unfair trade practice under Consumer Protection laws. Save your money and stay away. App uninstalled for good!",,
11,"Sizes are not clearly mentioned. Like for levis , 'Model wearing larger size for comfort fit' which made me buy larger size and this turned out to be very huge. And next time i opted for smaller size .. that was very small. But yeah for kids Ajio products are very good at reasonable prices. Also some formal wearing brands should be added e.g Park Avenue Arrow Arrow Newyork. 1 more thing i would like to add, is that no cost emi option should be there 2 .. like in other online shopping sites",,
12,Beautiful kurta must buy piece best for casual outings,,
13,"The prices are unbelievable!!! And the app is perfect! Well almost, I was thinking if the app could have an option for reviewing the product so anyone who's about to purchase want to know more about it they can know it through the reviews or if there was a small note about the product like which material it is made up of, what is length the dress. Thank you for reading!",,
14,"AJIO is great, but I’d love a feature that saves my size preferences (e.g., small, waist/chest measurements) and lets me compare them with the size chart of each item. This would make it easier to see if something will fit without having to remember my size for every product. A comparison table showing how the size differs from my saved measurements would help reduce wrong size orders. Hope AJIO adds this feature for a better shopping experience!",,
15,Very nice but price high overall nice product,,
16,"Best Fashion Find Ever—Totally Worth It! ⭐⭐⭐⭐⭐""Myntra never disappoints with its clothing collection! This piece offers incredible value for money. The fabric didn't shrink or lose color after the first wash, which proves its top-notch quality. The entire shopping experience—from browsing to the lightning-fast delivery—was incredibly smooth. Check out my styling video to see how it moves!""",,
17,"I prefer this app as I trust that the products would be genuine. Can there be an option to save our filters for future with the option to edit them. Like filter#1: ""top brand full sleeve cotton t-shirts"" which has my usual brand preference saved and usual colors saved. So that I don't have to select the brands and other things whenever I want to buy similar item. Besides that there is no option to select sleeve length, mid-rise/high-rise, collar type. Material etc.",,
18,"Ajio is my favourite shopping application.Tge discounts are intimidating but worth it.The brands here are unique and offers a variety of handloom products. I have been shopping from this app gor years now and the return policies and refunds have never troubled. The application even wotks very well on the phone.Only concern is that the wishlist items never come in total ,need to delete item to look past added wishlisted products.But rest all is very smooth with the application.Highly recommend 😊",,
19,"Product was good but too large 
And the option of size change can’t show",,
20,Taking platform fee and other fees and price is high according to cloth material and day to day order quality is degrading,,
21,"Very nice color, perfect fit for me",,
